Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis, Gain ,Currency,Unmatched
370.0977,MAID,11/04/2017,23/02/2018,516.3,19.95,¤ 496,ILS,
1479.6252,MAID,11/04/2017,23/02/2018,2059,79.75,"¤ 1,979",ILS,
37.55275,MAID,11/04/2017,23/02/2018,52.26,2.02,¤ 50,ILS,
3230.162,MAID,11/04/2017,23/02/2018,4495,174.11,"¤ 4,321",ILS,
2.731417,MAID,11/04/2017,23/02/2018,3.79,0.15,¤ 4,ILS,
50.13788,MAID,11/04/2017,23/02/2018,69.6,2.7,¤ 67,ILS,
50455.2548,MAID,11/04/2017,23/02/2018,70036.55,2719.54,"¤ 67,317",ILS,
148.9554,MAID,11/04/2017,23/02/2018,206.25,8.03,¤ 198,ILS,
949.55167,MAID,11/04/2017,23/02/2018,1314.76,51.18,"¤ 1,264",ILS,
41.76822,MAID,11/04/2017,23/02/2018,57.69,2.25,¤ 55,ILS,
2445.352,MAID,11/04/2017,23/02/2018,3377.36,131.8,"¤ 3,246",ILS,
618.6293,MAID,11/04/2017,23/02/2018,852.26,33.34,¤ 819,ILS,
2.778479,MAID,11/04/2017,23/02/2018,3.83,0.15,¤ 4,ILS,
40.71469,MAID,11/04/2017,23/02/2018,55.95,2.19,¤ 54,ILS,
1162.5298,MAID,11/04/2017,23/02/2018,1589.43,62.66,"¤ 1,527",ILS,
104.571,MAID,11/04/2017,23/02/2018,154.61,5.64,¤ 149,ILS,
0.03,BTC,23/10/2011,23/02/2018,1050,0.12,"¤ 1,050",ILS,
0.002904,ETH,01/11/2015,24/02/2018,8.21,0.03,¤ 8,ILS,
2.717174,ETH,01/11/2015,24/02/2018,8004.08,24.42,"¤ 7,980",ILS,
5.724173,ETH,01/11/2015,24/02/2018,16861.9,51.44,"¤ 16,810",ILS,
3.735764,ETH,01/11/2015,24/02/2018,10998.26,33.57,"¤ 10,965",ILS,
1.752254,ETH,01/11/2015,24/02/2018,5158.72,15.75,"¤ 5,143",ILS,
11.9531,ETH,01/11/2015,24/02/2018,35189.66,107.42,"¤ 35,082",ILS,
18.92958,ETH,01/11/2015,24/02/2018,55725,170.12,"¤ 55,555",ILS,
0.208401,ETH,01/11/2015,24/02/2018,613.19,1.87,¤ 611,ILS,
0.002412,ETH,01/11/2015,24/02/2018,7.09,0.02,¤ 7,ILS,
0.95218,ETH,01/11/2015,24/02/2018,2800.01,8.56,"¤ 2,791",ILS,
0.1,ETH,01/11/2015,24/02/2018,294.04,0.9,¤ 293,ILS,
1.407024,ETH,01/11/2015,24/02/2018,4137.25,12.65,"¤ 4,125",ILS,
0.004402,ETH,01/11/2015,24/02/2018,12.94,0.04,¤ 13,ILS,
58.06863,ETH,01/11/2015,24/02/2018,170710.5,521.87,"¤ 170,189",ILS,
10.331,ETH,01/11/2015,24/02/2018,30371.14,92.85,"¤ 30,278",ILS,
129.3161,ETH,01/11/2015,24/02/2018,380164.24,1162.19,"¤ 379,002",ILS,
129.5445,ETH,01/11/2015,24/02/2018,380773.16,1164.24,"¤ 379,609",ILS,
126.821,ETH,01/11/2015,24/02/2018,372767.91,1139.77,"¤ 371,628",ILS,
0.004822,ETH,01/11/2015,24/02/2018,14.17,0.04,¤ 14,ILS,
0.084015,ETH,01/11/2015,24/02/2018,246.93,0.76,¤ 246,ILS,
34.0632,ETH,01/11/2015,24/02/2018,100010.01,306.13,"¤ 99,704",ILS,
0.002961,ETH,01/11/2015,24/02/2018,8.69,0.03,¤ 9,ILS,
0.026292,ETH,01/11/2015,24/02/2018,77.18,0.24,¤ 77,ILS,
2.5935,ETH,01/11/2015,24/02/2018,7612.23,23.31,"¤ 7,589",ILS,
0.002405,ETH,01/11/2015,24/02/2018,7.06,0.02,¤ 7,ILS,
5.821128,ETH,01/11/2015,24/02/2018,17082.48,52.32,"¤ 17,030",ILS,
0.006,ETH,01/11/2015,24/02/2018,17.61,0.05,¤ 18,ILS,
0.186502,ETH,01/11/2015,24/02/2018,547.17,1.68,¤ 545,ILS,
0.103419,ETH,01/11/2015,24/02/2018,303.4,0.93,¤ 302,ILS,
0.235094,ETH,01/11/2015,24/02/2018,689.55,2.11,¤ 687,ILS,
0.005172,ETH,01/11/2015,24/02/2018,15.17,0.05,¤ 15,ILS,
0.005848,ETH,01/11/2015,24/02/2018,17.15,0.05,¤ 17,ILS,
0.181868,ETH,01/11/2015,24/02/2018,533.32,1.63,¤ 532,ILS,
0.038028,ETH,01/11/2015,24/02/2018,111.51,0.34,¤ 111,ILS,
5,ETH,01/11/2015,24/02/2018,14659.55,44.94,"¤ 14,615",ILS,
19.47613,ETH,01/11/2015,24/02/2018,57082.8,175.04,"¤ 56,908",ILS,
0.9975,ETH,01/11/2015,24/02/2018,2923.58,8.96,"¤ 2,915",ILS,
0.05424,ETH,01/11/2015,24/02/2018,158.95,0.49,¤ 158,ILS,
0.53619,ETH,01/11/2015,24/02/2018,1548.86,4.82,"¤ 1,544",ILS,
1.214975,ETH,01/11/2015,24/02/2018,3462.67,10.92,"¤ 3,452",ILS,
1.461527,ETH,01/11/2015,24/02/2018,4031.41,13.14,"¤ 4,018",ILS,
2.540747,ETH,01/11/2015,24/02/2018,7008.28,22.83,"¤ 6,985",ILS,
0.015583,ETH,01/11/2015,24/02/2018,42.99,0.14,¤ 43,ILS,
6.233297,ETH,01/11/2015,24/02/2018,17195.56,56.02,"¤ 17,140",ILS,
1,ETH,01/11/2015,24/02/2018,2759.21,8.99,"¤ 2,750",ILS,
0.04073,ETH,01/11/2015,24/02/2018,112.38,0.37,¤ 112,ILS,
0.61423,ETH,01/11/2015,24/02/2018,1695,5.52,"¤ 1,689",ILS,
0.00244,ETH,01/11/2015,24/02/2018,6.73,0.02,¤ 7,ILS,
0.0000001,ETH,01/11/2015,24/02/2018,0,0, ¤ -   ,ILS,
0.008189,ETH,01/11/2015,24/02/2018,22.61,0.07,¤ 23,ILS,
0.008189,ETH,01/11/2015,24/02/2018,22.61,0.07,¤ 23,ILS,
0.008246,ETH,01/11/2015,24/02/2018,22.77,0.07,¤ 23,ILS,
0.001261,ETH,01/11/2015,24/02/2018,3.48,0.01,¤ 3,ILS,
3,ETH,01/11/2015,24/02/2018,8284.88,26.96,"¤ 8,258",ILS,
6.094,ETH,01/11/2015,24/02/2018,16829.36,54.77,"¤ 16,775",ILS,
0.25,ETH,01/11/2015,24/02/2018,690.41,2.25,¤ 688,ILS,
0.024937,ETH,01/11/2015,24/02/2018,68.87,0.22,¤ 69,ILS,
0.002404,ETH,01/11/2015,24/02/2018,6.64,0.02,¤ 7,ILS,
0.8,ETH,01/11/2015,24/02/2018,2209.94,7.19,"¤ 2,203",ILS,
0.001366,ETH,01/11/2015,24/02/2018,3.77,0.01,¤ 4,ILS,
0.249604,ETH,01/11/2015,24/02/2018,689.55,2.24,¤ 687,ILS,
0.45987,ETH,01/11/2015,24/02/2018,1270.45,4.13,"¤ 1,266",ILS,
0.036523,ETH,01/11/2015,24/02/2018,100.91,0.33,¤ 101,ILS,
0.942913,ETH,01/11/2015,24/02/2018,2605.57,8.47,"¤ 2,597",ILS,
0.052804,ETH,01/11/2015,24/02/2018,145.94,0.47,¤ 145,ILS,
0.002411,ETH,01/11/2015,24/02/2018,6.66,0.02,¤ 7,ILS,
0.00126,ETH,01/11/2015,24/02/2018,3.48,0.01,¤ 3,ILS,
0.127923,ETH,01/11/2015,24/02/2018,353.66,1.15,¤ 353,ILS,
0.035384,ETH,01/11/2015,24/02/2018,97.9,0.32,¤ 98,ILS,
0.07122,ETH,01/11/2015,24/02/2018,197.12,0.64,¤ 196,ILS,
0.002578,ETH,01/11/2015,24/02/2018,7.14,0.02,¤ 7,ILS,
2.99533,ETH,01/11/2015,24/02/2018,8291.4,26.92,"¤ 8,264",ILS,
0.001245,ETH,01/11/2015,24/02/2018,3.45,0.01,¤ 3,ILS,
0.2,ETH,01/11/2015,24/02/2018,553.7,1.8,¤ 552,ILS,
0.02114,ETH,01/11/2015,24/02/2018,58.53,0.19,¤ 58,ILS,
0.002516,ETH,01/11/2015,24/02/2018,6.97,0.02,¤ 7,ILS,
0.062216,ETH,01/11/2015,24/02/2018,172.33,0.56,¤ 172,ILS,
2.912112,ETH,01/11/2015,24/02/2018,8065.96,26.17,"¤ 8,040",ILS,
1.978933,ETH,01/11/2015,24/02/2018,5481.86,17.79,"¤ 5,464",ILS,
0.002489,ETH,01/11/2015,24/02/2018,6.9,0.02,¤ 7,ILS,
0.02,ETH,01/11/2015,24/02/2018,55.44,0.18,¤ 55,ILS,
0.319949,ETH,01/11/2015,24/02/2018,887.08,2.88,¤ 884,ILS,
0.062599,ETH,01/11/2015,24/02/2018,173.6,0.56,¤ 173,ILS,
0.001648,ETH,01/11/2015,24/02/2018,4.57,0.01,¤ 5,ILS,
0.002449,ETH,01/11/2015,24/02/2018,6.79,0.02,¤ 7,ILS,
5,ETH,01/11/2015,24/02/2018,13870.2,44.94,"¤ 13,825",ILS,
0.012427,ETH,01/11/2015,24/02/2018,34.48,0.11,¤ 34,ILS,
0.078407,ETH,01/11/2015,24/02/2018,217.53,0.7,¤ 217,ILS,
0.064472,ETH,01/11/2015,24/02/2018,178.89,0.58,¤ 178,ILS,
0.248498,ETH,01/11/2015,24/02/2018,689.54,2.23,¤ 687,ILS,
0.191355,ETH,01/11/2015,24/02/2018,531,1.72,¤ 529,ILS,
0.078578,ETH,01/11/2015,24/02/2018,218.05,0.71,¤ 217,ILS,
0.024848,ETH,01/11/2015,24/02/2018,68.96,0.22,¤ 69,ILS,
0.117314,ETH,01/11/2015,24/02/2018,325.56,1.05,¤ 325,ILS,
5,ETH,01/11/2015,24/02/2018,13877.95,44.94,"¤ 13,833",ILS,
0.008034,ETH,01/11/2015,24/02/2018,22.3,0.07,¤ 22,ILS,
0.004347,ETH,01/11/2015,24/02/2018,12.07,0.04,¤ 12,ILS,
0.008063,ETH,01/11/2015,24/02/2018,22.38,0.07,¤ 22,ILS,
0.19537,ETH,01/11/2015,24/02/2018,542.3,1.76,¤ 541,ILS,
1.093022,ETH,01/11/2015,24/02/2018,3034.01,9.82,"¤ 3,024",ILS,
0.931552,ETH,01/11/2015,24/02/2018,2585.8,8.37,"¤ 2,577",ILS,
0.008106,ETH,01/11/2015,24/02/2018,22.5,0.07,¤ 22,ILS,
0.077502,ETH,01/11/2015,24/02/2018,215.14,0.7,¤ 214,ILS,
1.762365,ETH,01/11/2015,24/02/2018,4892.33,15.84,"¤ 4,876",ILS,
0.002509,ETH,01/11/2015,24/02/2018,6.97,0.02,¤ 7,ILS,
0.350299,ETH,01/11/2015,24/02/2018,972.64,3.15,¤ 969,ILS,
0.04,ETH,01/11/2015,24/02/2018,111.07,0.36,¤ 111,ILS,
23.17823,ETH,01/11/2015,24/02/2018,64369.24,208.31,"¤ 64,161",ILS,
0.02,ETH,01/11/2015,24/02/2018,55.55,0.18,¤ 55,ILS,
0.002482,ETH,01/11/2015,24/02/2018,6.9,0.02,¤ 7,ILS,
4.193726,ETH,01/11/2015,24/02/2018,11653.8,37.69,"¤ 11,616",ILS,
0.099249,ETH,01/11/2015,24/02/2018,275.82,0.89,¤ 275,ILS,
0.251253,ETH,01/11/2015,24/02/2018,698.34,2.26,¤ 696,ILS,
0.006201,ETH,01/11/2015,24/02/2018,17.24,0.06,¤ 17,ILS,
0.124023,ETH,01/11/2015,24/02/2018,344.78,1.11,¤ 344,ILS,
0.012612,ETH,01/11/2015,24/02/2018,35.07,0.11,¤ 35,ILS,
0.12213,ETH,01/11/2015,24/02/2018,339.64,1.1,¤ 339,ILS,
0.047701,ETH,01/11/2015,24/02/2018,132.67,0.43,¤ 132,ILS,
7.475273,ETH,01/11/2015,24/02/2018,20798.3,67.18,"¤ 20,731",ILS,
0.070393,ETH,01/11/2015,24/02/2018,195.86,0.63,¤ 195,ILS,
0.333434,ETH,01/11/2015,24/02/2018,927.72,3,¤ 925,ILS,
0.149625,ETH,01/11/2015,24/02/2018,416.31,1.34,¤ 415,ILS,
0.89987,ETH,01/11/2015,24/02/2018,2503.84,8.09,"¤ 2,496",ILS,
0.012389,ETH,01/11/2015,24/02/2018,34.48,0.11,¤ 34,ILS,
4.943391,ETH,01/11/2015,24/02/2018,13756.45,44.43,"¤ 13,712",ILS,
1.227233,ETH,01/11/2015,24/02/2018,3415.22,11.03,"¤ 3,404",ILS,
0.494809,ETH,01/11/2015,24/02/2018,1377.02,4.45,"¤ 1,373",ILS,
0.013247,ETH,01/11/2015,24/02/2018,36.87,0.12,¤ 37,ILS,
0.042565,ETH,01/11/2015,24/02/2018,118.46,0.38,¤ 118,ILS,
0.005544,ETH,01/11/2015,24/02/2018,15.44,0.05,¤ 15,ILS,
0.0013,ETH,01/11/2015,24/02/2018,3.62,0.01,¤ 4,ILS,
2.475992,ETH,01/11/2015,24/02/2018,6895.47,22.25,"¤ 6,873",ILS,
0.055,ETH,01/11/2015,24/02/2018,153.2,0.49,¤ 153,ILS,
0.1,ETH,01/11/2015,24/02/2018,278.55,0.9,¤ 278,ILS,
0.46787,ETH,01/11/2015,24/02/2018,1303.31,4.2,"¤ 1,299",ILS,
0.009807,ETH,01/11/2015,24/02/2018,27.32,0.09,¤ 27,ILS,
2.005,ETH,01/11/2015,24/02/2018,5585.45,18.02,"¤ 5,567",ILS,
0.473003,ETH,01/11/2015,24/02/2018,1317.67,4.25,"¤ 1,313",ILS,
0.249375,ETH,01/11/2015,24/02/2018,694.8,2.24,¤ 693,ILS,
0.142199,ETH,01/11/2015,24/02/2018,396.31,1.28,¤ 395,ILS,
0.163072,ETH,01/11/2015,24/02/2018,454.52,1.47,¤ 453,ILS,
0.001569,ETH,01/11/2015,24/02/2018,4.38,0.01,¤ 4,ILS,
0.074812,ETH,01/11/2015,24/02/2018,208.76,0.67,¤ 208,ILS,
0.001544,ETH,01/11/2015,24/02/2018,4.31,0.01,¤ 4,ILS,
0.008009,ETH,01/11/2015,24/02/2018,22.35,0.07,¤ 22,ILS,
0.002479,ETH,01/11/2015,24/02/2018,6.92,0.02,¤ 7,ILS,
0.002531,ETH,01/11/2015,24/02/2018,7.07,0.02,¤ 7,ILS,
0.001472,ETH,01/11/2015,24/02/2018,4.11,0.01,¤ 4,ILS,
20,ETH,01/11/2015,24/02/2018,55853.14,179.74,"¤ 55,673",ILS,
12.87851,ETH,01/11/2015,24/02/2018,35965.26,115.74,"¤ 35,850",ILS,
0.005017,ETH,01/11/2015,24/02/2018,14.01,0.05,¤ 14,ILS,
0.123457,ETH,01/11/2015,24/02/2018,344.77,1.11,¤ 344,ILS,
0.001247,ETH,01/11/2015,24/02/2018,3.48,0.01,¤ 3,ILS,
0.091358,ETH,01/11/2015,24/02/2018,255.13,0.82,¤ 254,ILS,
0.9975,ETH,01/11/2015,24/02/2018,2785.68,8.96,"¤ 2,777",ILS,
0.124687,ETH,01/11/2015,24/02/2018,348.21,1.12,¤ 347,ILS,
0.370238,ETH,01/11/2015,24/02/2018,1034.32,3.33,"¤ 1,031",ILS,
0.370101,ETH,01/11/2015,24/02/2018,1034.32,3.33,"¤ 1,031",ILS,
1,ETH,01/11/2015,24/02/2018,2794.86,8.99,"¤ 2,786",ILS,
0.1,ETH,01/11/2015,24/02/2018,279.51,0.9,¤ 279,ILS,
1.480118,ETH,01/11/2015,24/02/2018,4137.29,13.3,"¤ 4,124",ILS,
0.369951,ETH,01/11/2015,24/02/2018,1034.32,3.32,"¤ 1,031",ILS,
0.021806,ETH,01/11/2015,24/02/2018,60.97,0.2,¤ 61,ILS,
0.012469,ETH,01/11/2015,24/02/2018,34.87,0.11,¤ 35,ILS,
0.369902,ETH,01/11/2015,24/02/2018,1034.32,3.32,"¤ 1,031",ILS,
1.647956,ETH,01/11/2015,24/02/2018,4608.82,14.81,"¤ 4,594",ILS,
0.002494,ETH,01/11/2015,24/02/2018,6.97,0.02,¤ 7,ILS,
0.002536,ETH,01/11/2015,24/02/2018,7.09,0.02,¤ 7,ILS,
0.049875,ETH,01/11/2015,24/02/2018,139.52,0.45,¤ 139,ILS,
3.685631,ETH,01/11/2015,24/02/2018,10313.92,33.12,"¤ 10,281",ILS,
0.043093,ETH,01/11/2015,24/02/2018,120.61,0.39,¤ 120,ILS,
5,ETH,01/11/2015,24/02/2018,13997.59,44.94,"¤ 13,953",ILS,
0.002636,ETH,01/11/2015,24/02/2018,7.38,0.02,¤ 7,ILS,
0.01112,ETH,01/11/2015,24/02/2018,31.14,0.1,¤ 31,ILS,
0.001533,ETH,01/11/2015,24/02/2018,4.29,0.01,¤ 4,ILS,
0.012051,ETH,01/11/2015,24/02/2018,33.75,0.11,¤ 34,ILS,
0.024938,ETH,01/11/2015,24/02/2018,69.85,0.22,¤ 70,ILS,
9.975,ETH,01/11/2015,24/02/2018,27939.29,89.65,"¤ 27,850",ILS,
0.122543,ETH,01/11/2015,24/02/2018,343.25,1.1,¤ 342,ILS,
0.123087,ETH,01/11/2015,24/02/2018,344.77,1.11,¤ 344,ILS,
0.250649,ETH,01/11/2015,24/02/2018,702.55,2.25,¤ 700,ILS,
5,ETH,01/11/2015,24/02/2018,14014.83,44.94,"¤ 13,970",ILS,
0.2,ETH,01/11/2015,24/02/2018,560.6,1.8,¤ 559,ILS,
0.602075,ETH,01/11/2015,24/02/2018,1687.62,5.41,"¤ 1,682",ILS,
3.666862,ETH,01/11/2015,24/02/2018,10279.98,32.95,"¤ 10,247",ILS,
0.052006,ETH,01/11/2015,24/02/2018,145.8,0.47,¤ 145,ILS,
0.739886,ETH,01/11/2015,24/02/2018,2074.39,6.65,"¤ 2,068",ILS,
0.024937,ETH,01/11/2015,24/02/2018,69.94,0.22,¤ 70,ILS,
4.974845,ETH,01/11/2015,24/02/2018,13952.21,44.71,"¤ 13,908",ILS,
0.116331,ETH,01/11/2015,24/02/2018,326.32,1.05,¤ 325,ILS,
0.064874,ETH,01/11/2015,24/02/2018,182.04,0.58,¤ 181,ILS,
0.007936,ETH,01/11/2015,24/02/2018,22.27,0.07,¤ 22,ILS,
0.007941,ETH,01/11/2015,24/02/2018,22.28,0.07,¤ 22,ILS,
5,ETH,01/11/2015,24/02/2018,14032.07,44.94,"¤ 13,987",ILS,
0.015569,ETH,01/11/2015,24/02/2018,43.7,0.14,¤ 44,ILS,
0.503598,ETH,01/11/2015,24/02/2018,1413.56,4.53,"¤ 1,409",ILS,
0.005072,ETH,01/11/2015,24/02/2018,14.24,0.05,¤ 14,ILS,
0.246201,ETH,01/11/2015,24/02/2018,691.31,2.21,¤ 689,ILS,
0.124687,ETH,01/11/2015,24/02/2018,350.22,1.12,¤ 349,ILS,
0.012595,ETH,01/11/2015,24/02/2018,35.39,0.11,¤ 35,ILS,
50,ETH,01/11/2015,24/02/2018,140494.78,449.36,"¤ 140,045",ILS,
0.043762,ETH,01/11/2015,24/02/2018,122.97,0.39,¤ 123,ILS,
0.257368,ETH,01/11/2015,24/02/2018,723.27,2.31,¤ 721,ILS,
0.236659,ETH,01/11/2015,24/02/2018,665.09,2.13,¤ 663,ILS,
0.227344,ETH,01/11/2015,24/02/2018,639.05,2.04,¤ 637,ILS,
0.033,ETH,01/11/2015,24/02/2018,92.77,0.3,¤ 92,ILS,
4.464144,ETH,01/11/2015,24/02/2018,12551.17,40.12,"¤ 12,511",ILS,
95.40799,ETH,01/11/2015,24/02/2018,268250.97,857.45,"¤ 267,394",ILS,
0.002535,ETH,01/11/2015,24/02/2018,7.13,0.02,¤ 7,ILS,
0.1,ETH,01/11/2015,24/02/2018,281.23,0.9,¤ 280,ILS,
0.005489,ETH,01/11/2015,24/02/2018,15.44,0.05,¤ 15,ILS,
0.9975,ETH,01/11/2015,24/02/2018,2806.31,8.96,"¤ 2,797",ILS,
0.146152,ETH,01/11/2015,24/02/2018,411.21,1.31,¤ 410,ILS,
0.002484,ETH,01/11/2015,24/02/2018,7,0.02,¤ 7,ILS,
0.284168,ETH,01/11/2015,24/02/2018,800.29,2.55,¤ 798,ILS,
0.249375,ETH,01/11/2015,24/02/2018,702.33,2.24,¤ 700,ILS,
0.038931,ETH,01/11/2015,24/02/2018,109.65,0.35,¤ 109,ILS,
0.033,ETH,01/11/2015,24/02/2018,92.94,0.3,¤ 93,ILS,
0.024344,ETH,01/11/2015,24/02/2018,68.57,0.22,¤ 68,ILS,
0.117632,ETH,01/11/2015,24/02/2018,331.34,1.06,¤ 330,ILS,
0.024937,ETH,01/11/2015,24/02/2018,70.25,0.22,¤ 70,ILS,
3.06964,ETH,01/11/2015,24/02/2018,8647.28,27.59,"¤ 8,620",ILS,
144.1711,ETH,01/11/2015,24/02/2018,406134.67,1295.69,"¤ 404,839",ILS,
0.067147,ETH,01/11/2015,24/02/2018,189.18,0.6,¤ 189,ILS,
2.229009,ETH,01/11/2015,24/02/2018,6282.5,20.03,"¤ 6,262",ILS,
2.445715,ETH,01/11/2015,24/02/2018,6895.48,21.98,"¤ 6,874",ILS,
4.9875,ETH,01/11/2015,24/02/2018,14065.94,44.82,"¤ 14,021",ILS,
48.89976,ETH,01/11/2015,24/02/2018,137909,439.47,"¤ 137,470",ILS,
0.004,ETH,01/11/2015,24/02/2018,11.29,0.04,¤ 11,ILS,
0.007875,ETH,01/11/2015,24/02/2018,22.22,0.07,¤ 22,ILS,
0.003681,ETH,01/11/2015,24/02/2018,10.39,0.03,¤ 10,ILS,
0.033,ETH,01/11/2015,24/02/2018,93.13,0.3,¤ 93,ILS,
