Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
83.7,IOTA,26/01/2018,18/04/2018,474.47,665.33,-190.86,ILS,,Binance,2030551-9403327,Binance,3117265-17618902
221.778,IOTA,02/02/2018,18/04/2018,1257.18,1234.1,23.08,ILS,,Binance,2150180-10045240,Binance,3117265-17618902
10.989,IOTA,02/02/2018,18/04/2018,62.29,61.15,1.14,ILS,,Binance,2150184-10045240,Binance,3117265-17618902
16.533,IOTA,02/02/2018,18/04/2018,93.72,92,1.72,ILS,,Binance,2150383-10045240,Binance,3117265-17618902
0.1060484,ETH,17/04/2018,18/04/2018,191.29,193.96,-2.67,ILS,,Binance,21102389-57349536,Binance,10774073-26470569
1.09145745,ETH,17/04/2018,18/04/2018,1968.78,1998.62,-29.84,ILS,,Binance,21103107-57351666,Binance,10774073-26470569
0.00002997,ETH,17/04/2018,18/04/2018,0.05,0.05,0,ILS,,Binance,21103109-57351666,Binance,10774073-26470569
0.09725402,ETH,18/04/2018,18/04/2018,175.43,175.6,-0.17,ILS,,Binance,3117262-17618902,Binance,10774073-26470569
2498,XVG,02/02/2018,19/04/2018,545.99,418.81,127.18,ILS,,Binance,2637897-9300666,Binance,4482229-18333450
15400,TRX,18/04/2018,20/04/2018,2743.84,2335.47,408.37,ILS,,Binance,10774073-26470569,Binance,10878439-26893641
44.75,ICX,17/04/2018,20/04/2018,533.17,463.35,69.82,ILS,,Binance,3569515-14614002,Binance,3621022-14948043
32.967,ICX,17/04/2018,20/04/2018,392.78,341.58,51.2,ILS,,Binance,3569517-14614002,Binance,3621023-14948043
90.909,ICX,17/04/2018,20/04/2018,1083.12,942.11,141.01,ILS,,Binance,3569518-14614002,Binance,3621023-14948043
5.2,ICX,17/04/2018,20/04/2018,61.95,53.84,8.11,ILS,,Binance,3569515-14614002,Binance,3621023-14948043
13.986,ICX,17/04/2018,20/04/2018,166.63,144.84,21.79,ILS,,Binance,3569516-14614002,Binance,3621023-14948043
59.68026,ICX,17/04/2018,20/04/2018,711.05,617.62,93.43,ILS,,Binance,3569589-14614593,Binance,3621023-14948043
17.5824,ICX,17/04/2018,20/04/2018,209.48,181.96,27.52,ILS,,Binance,3569599-14614593,Binance,3621023-14948043
114.35534,ICX,17/04/2018,20/04/2018,1362.47,1183.44,179.03,ILS,,Binance,3569676-14614593,Binance,3621023-14948043
0.05987619,ETH,18/04/2018,20/04/2018,118.5,108.11,10.39,ILS,,Binance,3117262-17618902,Binance,21362024-58164349
0.06285208,ETH,18/04/2018,20/04/2018,124.39,113.49,10.9,ILS,,Binance,3117263-17618902,Binance,21362024-58164349
